Date,Recent graduates,College graduates
1990/1/1,42.7,33.5
1990/2/1,42.7,33.6
1990/3/1,42.9,33.7
1990/4/1,43.2,33.8
1990/5/1,43.5,33.9
1990/6/1,43.4,33.9
1990/7/1,43.5,33.9
1990/8/1,43.5,33.9
1990/9/1,43.8,33.9
1990/10/1,43.9,34
1990/11/1,44,34
1990/12/1,44.2,34
1991/1/1,44.3,34
1991/2/1,44.3,34
1991/3/1,44.3,33.9
1991/4/1,44.1,33.9
1991/5/1,44.1,33.8
1991/6/1,44.1,33.8
1991/7/1,44.2,33.8
1991/8/1,44.2,33.9
1991/9/1,44.3,33.8
1991/10/1,44.3,33.8
1991/11/1,44.5,33.7
1991/12/1,44.4,33.6
1992/1/1,44.5,33.7
1992/2/1,44.9,33.8
1992/3/1,45.4,33.9
1992/4/1,45.7,34
1992/5/1,45.9,34.1
1992/6/1,46.1,34.2
1992/7/1,46.3,34.2
1992/8/1,46.7,34.3
1992/9/1,46.9,34.4
1992/10/1,47.2,34.5
1992/11/1,47.4,34.5
1992/12/1,47.7,34.6
1993/1/1,47.7,34.6
1993/2/1,47.5,34.5
1993/3/1,47.2,34.4
1993/4/1,47.2,34.4
1993/5/1,47.1,34.4
1993/6/1,47.1,34.3
1993/7/1,47,34.3
1993/8/1,47,34.3
1993/9/1,46.8,34.2
1993/10/1,46.6,34.2
1993/11/1,46.5,34.3
1993/12/1,46.4,34.3
1994/1/1,46.6,34.4
1994/2/1,46.8,34.5
1994/3/1,46.9,34.6
1994/4/1,47,34.5
1994/5/1,47,34.5
1994/6/1,47.1,34.4
1994/7/1,47.2,34.4
1994/8/1,46.9,34.3
1994/9/1,46.7,34.2
1994/10/1,46.6,34.1
1994/11/1,46.4,34
1994/12/1,46.2,33.8
1995/1/1,45.9,33.6
1995/2/1,45.7,33.4
1995/3/1,45.5,33.2
1995/4/1,45.4,33.1
1995/5/1,45.2,33
1995/6/1,44.9,32.9
1995/7/1,44.6,32.8
1995/8/1,44.6,32.8
1995/9/1,44.6,32.8
1995/10/1,44.5,32.8
1995/11/1,44.4,32.7
1995/12/1,44.1,32.7
1996/1/1,43.9,32.7
1996/2/1,43.7,32.7
1996/3/1,43.6,32.8
1996/4/1,43.5,32.8
1996/5/1,43.5,32.8
1996/6/1,43.5,32.8
1996/7/1,43.5,32.9
1996/8/1,43.3,32.9
1996/9/1,43.1,32.8
1996/10/1,43.1,32.9
1996/11/1,43.2,32.9
1996/12/1,43.1,32.9
1997/1/1,43.3,32.9
1997/2/1,43.2,32.8
1997/3/1,43,32.8
1997/4/1,42.8,32.7
1997/5/1,42.5,32.7
1997/6/1,42.2,32.7
1997/7/1,42,32.6
1997/8/1,41.7,32.5
1997/9/1,41.6,32.4
1997/10/1,41.5,32.4
1997/11/1,41.6,32.5
1997/12/1,41.5,32.6
1998/1/1,41.4,32.7
1998/2/1,41.3,32.7
1998/3/1,41.1,32.8
1998/4/1,40.8,32.8
1998/5/1,40.7,32.8
1998/6/1,40.7,32.8
1998/7/1,40.5,32.7
1998/8/1,40.6,32.7
1998/9/1,40.6,32.6
1998/10/1,40.6,32.5
1998/11/1,40.5,32.4
1998/12/1,40.6,32.4
1999/1/1,40.6,32.3
1999/2/1,40.8,32.3
1999/3/1,40.8,32.2
1999/4/1,40.9,32.1
1999/5/1,40.9,32
1999/6/1,40.7,31.9
1999/7/1,40.5,31.9
1999/8/1,40.3,31.8
1999/9/1,40,31.9
1999/10/1,39.7,31.9
1999/11/1,39.4,31.9
1999/12/1,39.1,31.8
2000/1/1,38.8,31.8
2000/2/1,38.6,31.7
2000/3/1,38.6,31.7
2000/4/1,38.4,31.7
2000/5/1,38.4,31.7
2000/6/1,38.2,31.7
2000/7/1,38.2,31.7
2000/8/1,38.1,31.7
2000/9/1,38.1,31.7
2000/10/1,38.2,31.7
2000/11/1,38.2,31.7
2000/12/1,38.3,31.6
2001/1/1,38.3,31.6
2001/2/1,38.1,31.7
2001/3/1,37.9,31.7
2001/4/1,37.7,31.6
2001/5/1,37.6,31.7
2001/6/1,37.8,31.7
2001/7/1,38,31.7
2001/8/1,38,31.7
2001/9/1,38,31.8
2001/10/1,37.8,31.7
2001/11/1,37.8,31.8
