Date,Young workers,All workers,Recent graduates,College graduates
1990/1/1,7.6,5,3.5,2.3
1990/2/1,7.6,5.1,3.4,2.3
1990/3/1,7.7,5.1,3.5,2.2
1990/4/1,7.7,5.1,3.4,2.2
1990/5/1,7.7,5.1,3.4,2.2
1990/6/1,7.7,5.1,3.4,2.3
1990/7/1,7.6,5.1,3.4,2.3
1990/8/1,7.7,5.2,3.5,2.3
1990/9/1,7.7,5.2,3.6,2.3
1990/10/1,7.8,5.2,3.6,2.3
1990/11/1,7.9,5.3,3.6,2.3
1990/12/1,8,5.4,3.7,2.4
1991/1/1,8.1,5.5,3.8,2.4
1991/2/1,8.3,5.6,4,2.5
1991/3/1,8.5,5.7,4.1,2.5
1991/4/1,8.6,5.8,4.1,2.6
1991/5/1,8.8,6,4.2,2.7
1991/6/1,9,6.1,4.3,2.7
1991/7/1,9.2,6.2,4.4,2.8
1991/8/1,9.3,6.3,4.5,2.8
1991/9/1,9.5,6.4,4.6,2.9
1991/10/1,9.7,6.5,4.7,2.9
1991/11/1,9.8,6.5,4.7,3
1991/12/1,10,6.6,4.8,3
1992/1/1,10.1,6.7,4.8,3.1
1992/2/1,10.2,6.8,4.7,3.1
1992/3/1,10.3,6.8,4.8,3.1
1992/4/1,10.4,6.9,4.7,3.1
1992/5/1,10.5,6.9,4.7,3.1
1992/6/1,10.7,7,4.7,3.2
1992/7/1,10.7,7.1,4.7,3.2
1992/8/1,10.8,7.1,4.8,3.2
1992/9/1,10.9,7.2,4.9,3.3
1992/10/1,10.9,7.2,4.8,3.3
1992/11/1,10.9,7.2,4.9,3.4
1992/12/1,11,7.3,4.8,3.4
1993/1/1,11,7.2,4.8,3.4
1993/2/1,11,7.2,4.8,3.4
1993/3/1,10.9,7.2,4.8,3.4
1993/4/1,10.8,7.1,4.8,3.4
1993/5/1,10.7,7.1,4.8,3.4
1993/6/1,10.6,7,4.7,3.3
1993/7/1,10.5,7,4.6,3.3
1993/8/1,10.5,6.9,4.6,3.2
1993/9/1,10.4,6.8,4.5,3.2
1993/10/1,10.2,6.8,4.4,3.2
1993/11/1,10.1,6.7,4.4,3.1
1993/12/1,10,6.6,4.4,3.1
1994/1/1,9.8,6.6,4.4,3
1994/2/1,9.8,6.5,4.3,3
1994/3/1,9.8,6.4,4.2,3
1994/4/1,9.7,6.4,4.2,2.9
1994/5/1,9.6,6.3,4.2,2.9
